Id,Label,timeset,tweets,retweets,rrt,modularity_class,indegree,outdegree,degree
565,scoubibio,,4,0,0,0,1,0,1
570,Apldin,,4,0,0,6,4,0,4
571,parislivreur,,3,0,0,1,3,0,3
572,Clara13179650,,1,0,0,6,1,0,1
573,bobby1009,,1,0,0,3,1,0,1
574,draphousse2,,1,0,0,0,1,0,1
575,59630_de,,8,0,0,10,2,0,2
576,AllanicFabian,,3,0,0,9,3,0,3
577,CasseGonades,,3,0,0,1,3,0,3
580,Gerpedit,,1,0,0,6,1,0,1
581,7506patrickb,,1,0,0,6,1,0,1
583,JLeroy59,,1,0,0,1,1,0,1
584,Pall911,,1,0,0,3,1,0,1
585,Fernand77331229,,1,0,0,6,1,0,1
586,KurtLaffreuxped,,2,0,0,3,2,0,2
587,olitier1,,1,0,0,6,1,0,1
588,Gassem23366017,,1,0,0,6,1,0,1
589,grn_matthieu,,1,0,0,6,1,0,1
591,AnnBel48985176,,1,0,0,6,1,0,1
592,felicie_po,,1,0,0,0,1,0,1
593,FranckInnocenti,,17,0,0,7,16,0,16
594,cptmighty,,1,0,0,3,1,0,1
595,TomassiFlo93,,3,0,0,7,2,0,2
596,Jocelyne29270,,2,0,0,7,2,0,2
597,MPMX92,,9,0,0,4,8,0,8
598,suprateg,,2,0,0,4,2,0,2
599,MtzHerve,,1,0,0,6,1,0,1
600,LMPT57,,2,0,0,6,1,0,1
601,Djame_,,2,0,0,3,2,0,2
602,MmeLinconnue,,2,0,0,0,2,0,2
603,LoloNivaggioli,,1,0,0,6,1,0,1
605,joachimesque,,11,0,0,3,9,0,9
606,PhilippeDervaux,,2,0,0,7,2,0,2
607,SweetSumo,,5,0,0,0,5,0,5
608,BmNanou,,1,0,0,6,1,0,1
611,edira2,,6,0,0,7,6,0,6
612,ricochepas3317,,1,0,0,6,1,0,1
613,paineythier,,1,0,0,6,1,0,1
614,JJBergerac,,1,0,0,3,1,0,1
615,poupoupidu,,1,0,0,0,1,0,1
617,Sharkoux,,20,32,1.6,0,12,32,44
619,garitey,,1,0,0,6,1,0,1
620,_Stephan1881,,1,0,0,3,1,0,1
621,creugdong,,1,0,0,3,1,0,1
622,bruno_lafitte,,3,0,0,6,2,0,2
623,Chaolin30900,,22,2,0.090909,7,19,2,21
625,RanqueJp,,8,0,0,7,8,0,8
626,Deboutdansmacui,,11,0,0,7,7,0,7
627,Ammadeaaa,,2,0,0,0,2,0,2
628,anikgimonets,,3,0,0,1,3,0,3
629,HVaucher,,6,0,0,10,5,0,5
630,PascaleJeru,,3,0,0,6,1,0,1
631,ShamoBankiva66,,4,0,0,4,4,0,4
632,BFARIZY,,1,0,0,0,1,0,1
633,DocCha09,,1,0,0,0,1,0,1
634,OlivierMaud,,1,0,0,6,1,0,1
635,paletherider,,1,0,0,6,1,0,1
636,Agrisystemsarl,,1,0,0,6,1,0,1
637,MikaelBreizh,,4,0,0,9,4,0,4
638,cceltika,,2,0,0,4,2,0,2
639,RaultFrancois,,2,0,0,6,2,0,2
640,BuronManon,,2,0,0,6,2,0,2
641,Magdalena9013,,1,0,0,6,1,0,1
642,PagoPog,,14,0,0,0,13,0,13
643,olivierjaguar,,2,0,0,7,2,0,2
644,athblf,,1,0,0,0,1,0,1
645,maele_d,,1,0,0,0,1,0,1
646,Betelplouf,,5,0,0,0,5,0,5
647,TaLili93572146,,1,0,0,6,1,0,1
649,Theacin,,1,0,0,3,1,0,1
650,NadiaGeerts,,3,7,2.333333,4,1,7,8
651,Jolle00883115,,1,0,0,6,1,0,1
652,ps3ud0nym3,,9,0,0,0,8,0,8
653,mayatonbb,,1,0,0,0,1,0,1
654,NegomiWhat,,1,0,0,4,1,0,1
655,Toubib21,,1,0,0,7,1,0,1
658,grostontongames,,2,0,0,7,1,0,1
661,Passengeralive,,2,0,0,4,2,0,2
662,Chrismarose,,1,0,0,6,1,0,1
663,Delarue96884422,,1,0,0,7,1,0,1
664,dragoon_cosmo,,1,0,0,6,1,0,1
665,ZFM_sys,,3,0,0,0,3,0,3
