"Label","Id","tweets","retweets","rRT"
"suzie_frenchy",703,2,0,0
"polykaup",704,1,0,0
"Jean_Naey",705,2,0,0
"khaIys",706,1,0,0
"georges_weiss",708,1,0,0
"LeFinancier13",709,5,0,0
"Tovarichlama",710,2,0,0
"sisi42fr",711,4,0,0
"LostPackages",712,10,0,0
"_candiicee_",714,2,0,0
"JOUHAUDMARIANN1",715,1,0,0
"NKodej",716,2,0,0
"Drustanlived",717,1,0,0
"sophiedrx",718,4,0,0
"tapion71",719,4,0,0
"mariejose58",720,1,0,0
"ezio_pearce",721,6,0,0
"mde_mm",722,1,0,0
"le_quotidien_lu",723,1,0,0
"lu_ckh",724,1,0,0
"mad_otter",725,1,0,0
"Charles11751036",726,2,0,0
"ParisianMum",727,4,0,0
"Populiste63",728,7,0,0
"nico_1601",729,1,0,0
"80_dots",730,1,0,0
"Unacoli",731,5,0,0
"Azulbleue",732,4,3,0.75
"ulrebulul_",733,3,0,0
"clare_furious",734,13,0,0
"matthewlittlemp",735,12,1,0.0833333333333333
"pwnine_",736,3,0,0
"Aganax30",737,1,0,0
"confine88908291",738,2,0,0
"Gaorl",739,2,0,0
"cheapseladon",740,3,0,0
"floflo6858",741,2,0,0
"FFourcroy",742,2,0,0
"lamargoterie",743,1,0,0
"CerNathalie",744,3,0,0
"DimScariot",745,2,0,0
"sabihnou",746,1,0,0
"GauloisCaporal",747,2,0,0
"renaut_elsa",748,2,0,0
"BrondelleJacky",749,1,0,0
"carcajoute",750,1,0,0
"Cytwee",751,3,0,0
"RaffermiMc",752,16,0,0
"STAUBAL",753,2,0,0
"sefi0912",754,2,0,0
"doctanguy87",755,1,0,0
"crayonmine",756,4,0,0
"SchippaJean",758,1,1,1
"Aizen_75",760,2,0,0
"SaidPes",761,1,0,0
"Ufedoc_asbl1",763,1,0,0
"steph12190",766,3,0,0
"JirsikovaM",767,1,0,0
"karlaschrey",768,1,0,0
"gt63sssssssss",769,1,0,0
"Azenberg7",770,2,0,0
"lavoieductoyen",771,7,0,0
"AlainDucasse9",772,1,0,0
"PlacentLaurent",773,1,0,0
"Pauline_Arrighi",774,1,0,0
"BangBangNeo",775,2,0,0
"ToulousainP",776,7,0,0
"VallooValloo",777,4,1,0.25
"Ereb21734969",778,7,0,0
"IFauvette",779,7,0,0
"MLI1051",780,2,0,0
"Charlot68169015",781,1,0,0
"OcanBleu14",782,1,0,0
"papedelenclave",783,1,0,0
"kristalrichy",784,1,0,0
"Niebelungen_",785,4,0,0
"mistercool87",786,3,0,0
"TheFrenchBased",787,1,0,0
"MaliaRibichinim",788,2,0,0
"Faber_J_",789,1,0,0
"Dorimene2",790,51,0,0
"2jf",791,2,0,0
"patrirobp",792,1,0,0
"fort_a_propos",793,2,0,0
"renauddmRN92",794,2,0,0
"VirginieBoudon2",795,2,0,0
"Nico_VanderB",796,1,0,0
"ThomPico",797,1,0,0
"boufik",798,1,0,0
"oeil_critique",799,1,0,0
"Marie32_fabre",800,5,3,0.6
"mylordphoenix",801,2,0,0
"americanflagusa",802,6,4,0.666666666666667
"AngeVedasun",803,1,0,0
"mp_picard",804,1,0,0
"Flingueur3",805,1,0,0
"06babetteBot950",806,14,0,0
"pdwn",807,2,0,0
"Endymio82773232",808,2,0,0
"LeaMrtte",809,1,0,0
"SoneAlyah",810,1,0,0
"BenoitMorency",811,1,0,0
"James44679846",812,1,0,0
"delphin67358787",813,14,1,0.0714285714285714
"lioneldcro",814,1,0,0
"Kabouni1",815,6,0,0
"Eurowl_",816,1,0,0
"LEFranssais",817,4,0,0
"GWGoldnadel",818,2,0,0
"cmotegliaisen",819,5,0,0
"Patoche699",820,7,0,0
"Serighollo",821,5,0,0
"PlaisantKather1",822,1,0,0
"oliviertdb",823,2,0,0
"_toutcramer_",824,5,0,0
"amadeosaurus",825,1,0,0
"CalamityRose",826,1,0,0
"gthglm",827,1,0,0
"BrunoLantrin",828,1,0,0
"_lexity9_",829,1,0,0
"Blackat24",830,1,0,0
"chloevollmerlo",831,1,0,0
"DominiqueJEANT4",832,1,0,0
"PatrickAUZOU",833,5,0,0
"ClaessensLieve",834,1,0,0
"zetwitty",835,1,0,0
"Gaellequoa",837,3,2,0.666666666666667
"SaphyrGallyfrey",838,5,0,0
"MarylineCourto1",839,1,0,0
"LaurencePino",840,3,1,0.333333333333333
"Tradaxx",841,3,0,0
"Peter_Pan95",842,2,0,0
"LanguedocRous13",843,1,0,0
"TrebalSacum",844,2,0,0
"Tropflexalex",845,1,0,0
"LeeLoo2022",846,1,0,0
"mrehm10",847,6,0,0
"oestrojade",848,3,0,0
"colette_fnt",849,1,0,0
"LibertadMarta",850,1,0,0
"Scrogneugneu6",851,1,0,0
"titiller",852,1,0,0
"S_amael",853,2,0,0
"lsas78",854,5,0,0
"PokerFaceBis",855,1,0,0
"BernRAH",856,7,0,0
"Jpm11255438",857,3,0,0
"pi_free_",858,3,0,0
"MaximusBerland",859,2,0,0
"elsentenza",860,1,0,0
"earlchamignon",861,9,0,0
"anon67777",862,1,0,0
"coucou564",863,7,4,0.571428571428571
"Chloecstasy",864,1,0,0
"jssakicool",865,1,0,0
"FillatreIle",866,7,0,0
"JeanneTherrien1",867,1,0,0
"Nordremo",868,4,0,0
"evrardc9",869,1,0,0
"Chris21715657",870,2,0,0
"DaisyLetourneur",872,5,52,10.4
"Buissonandre1",873,1,0,0
"YvesPlagnat",874,5,0,0
"aalex_be",875,4,0,0
"mon_sieur_k",876,5,0,0
"As56243074",877,9,0,0
"philotopos",878,9,3,0.333333333333333
"dame2coeur_",879,1,0,0
"Ced_Lex",880,2,0,0
"HUNDREDSH0T",881,1,0,0
"fearlessappho",882,3,0,0
"angelicastmx",883,4,0,0
"ChristopheHulm2",885,1,0,0
"Paltimuche",886,1,0,0
"Sensei_1992",887,2,0,0
