"Label","date","Id","modularity_class","outdegree"
"Beepop2",2022-08-24 12:27:54,532,"Droite réactionnaire",0
"blanchard_oli",2022-08-24 12:28:17,531,"Droite réactionnaire",0
"pmarsande",2022-08-24 12:28:40,530,"Droite réactionnaire",0
"tattoo1519",2022-08-24 12:28:51,528,"Droite réactionnaire",0
"Neron2283",2022-08-24 12:30:07,526,"Droite réactionnaire",0
"sachabrtd",2022-08-24 12:30:13,525,"Droite réactionnaire",0
"noemie_ghz",2022-08-24 12:30:28,521,"Droite réactionnaire",0
"Vixen23789982",2022-08-24 12:31:56,518,"Droite réactionnaire",0
"True_eldiez",2022-08-24 12:32:08,517,"Alt-right",0
"AntonyCartigny",2022-08-24 12:32:20,516,"Droite réactionnaire",0
"PaulineSpinazze",2022-08-24 12:33:16,513,"Droite réactionnaire",0
"SvavaWalkyrie",2022-08-24 12:33:39,511,"Militant·e·s féministes et LGBTQIA+",0
"IamR1_",2022-08-24 12:34:55,508,"Militant·e·s féministes et LGBTQIA+",0
"willjeeam",2022-08-24 12:36:02,506,"Droite réactionnaire",0
"ybutscha",2022-08-24 12:36:24,505,"Droite réactionnaire",0
"gnaksonfive",2022-08-24 12:36:47,504,"Droite réactionnaire",0
"HugoLeroy87",2022-08-24 12:37:11,503,"Droite réactionnaire",0
"MarieBatarec",2022-08-24 12:37:14,502,"Droite réactionnaire",0
"Guitfast",2022-08-24 12:38:16,498,"Conspirationnistes identitaires",0
"Dretska",2022-08-24 12:38:33,496,"Droite réactionnaire",0
"mpuaud",2022-08-24 12:38:45,494,"Militant·e·s féministes et LGBTQIA+",0
"Soad1802",2022-08-24 12:38:58,493,"Militant·e·s féministes et LGBTQIA+",0
"AnnaelAstan",2022-08-24 12:40:37,486,"Droite réactionnaire",0
"Sxwnn_",2022-08-24 12:41:09,484,"Droite réactionnaire",0
"alsveig",2022-08-24 12:41:15,483,"Militant·e·s féministes et LGBTQIA+",0
"Jujube45554012",2022-08-24 12:43:41,475,"Droite réactionnaire",0
"VictorGThoreau",2022-08-24 12:44:34,473,"Militant·e·s féministes et LGBTQIA+",0
"Minium2010",2022-08-24 12:46:34,467,"Militant·e·s féministes et LGBTQIA+",0
"A_G_D_S_",2022-08-24 12:46:55,464,"Militant·e·s féministes et LGBTQIA+",0
"Euphrasia99",2022-08-24 12:47:45,461,"Droite réactionnaire",0
"carole_flyn",2022-08-24 12:48:54,456,"Alt-right",0
"MSouich",2022-08-24 12:51:01,451,"Droite réactionnaire",0
"hadida_ana",2022-08-24 12:51:03,450,"Droite réactionnaire",0
"IsaVeyratMasson",2022-08-24 12:51:35,448,"Droite réactionnaire",0
"Axel_deBorda",2022-08-24 12:51:46,447,"Néoconservateurs",0
"Mds928",2022-08-24 12:52:42,445,"Droite réactionnaire",0
"cayuspocus",2022-08-24 12:54:11,441,"Droite réactionnaire",0
"Moimoi25505827",2022-08-24 12:54:15,440,"Militant·e·s féministes et LGBTQIA+",0
"secondo_iminerx",2022-08-24 12:54:46,437,"Droite réactionnaire",0
"Aphelar",2022-08-24 12:55:01,435,"Droite réactionnaire",0
"GmaInno",2022-08-24 12:55:01,436,"Alt-right",0
"EiffelSyndicat",2022-08-24 12:55:35,432,"Militant·e·s féministes et LGBTQIA+",0
"Sam_du_44",2022-08-24 12:55:38,431,"Droite réactionnaire",0
"_Melancolica",2022-08-24 12:55:45,430,"Alt-right",0
"CaroFrancDesage",2022-08-24 12:56:56,426,"Militant·e·s féministes et LGBTQIA+",3
"leopolda007",2022-08-24 12:57:38,424,"Droite réactionnaire",0
"moi_ho",2022-08-24 12:57:43,423,"Militant·e·s féministes et LGBTQIA+",0
"Magcaesax",2022-08-24 12:58:08,421,"Droite réactionnaire",0
"fannoche",2022-08-24 12:58:22,418,"Militant·e·s féministes et LGBTQIA+",0
"si_2sans38",2022-08-24 12:59:34,408,"Alt-right",0
"ChapuisCamille",2022-08-24 12:59:34,411,"Droite réactionnaire",0
"Alexan1Thepault",2022-08-24 13:01:49,405,"Alt-right",0
"Smela1966",2022-08-24 13:01:56,406,"Droite réactionnaire",0
"DegryseMaxime",2022-08-24 13:02:41,404,"Militant·e·s féministes et LGBTQIA+",0
"jpa_land",2022-08-24 13:02:53,403,"Militant·e·s féministes et LGBTQIA+",0
"LarueCharlus",2022-08-24 13:05:14,396,"Néoconservateurs",0
"CAMARAMlissa2",2022-08-24 13:06:14,393,"Personnalités et groupes de gauche",0
"xeff",2022-08-24 13:06:41,391,"Droite réactionnaire",0
"AngellycaH",2022-08-24 13:06:54,390,"Militant·e·s féministes et LGBTQIA+",0
"Serge_0002",2022-08-24 13:10:10,382,"Néoconservateurs",0
"beckerbea1",2022-08-24 13:10:53,380,"Droite réactionnaire",0
"djeleouf",2022-08-24 13:11:22,377,"Droite réactionnaire",0
"PierreG79041941",2022-08-24 13:11:53,376,"Droite réactionnaire",0
"SimpleCitoyenne",2022-08-24 13:14:18,368,"Droite réactionnaire",0
"2036June",2022-08-24 13:15:02,366,"Droite réactionnaire",0
"AlexandraSA89",2022-08-24 13:15:17,365,"Droite réactionnaire",0
"OddoRomanCorinn",2022-08-24 13:15:29,363,"Droite réactionnaire",0
"UP_Villeurbanne",2022-08-24 13:16:43,359,"Divers gauches",0
"ThierryMeignen",2022-08-24 13:17:27,357,"Néoconservateurs",0
"ChapuisFred",2022-08-24 13:17:40,355,"Droite réactionnaire",0
"goldorakestmort",2022-08-24 13:18:19,352,"Alt-right",0
"bzhresistant",2022-08-24 13:20:09,346,"Alt-right",0
"ANGESBLEU",2022-08-24 13:20:29,343,"Droite réactionnaire",0
"8f2c2963a20e419",2022-08-24 13:21:02,341,"Droite réactionnaire",0
"GDeguin",2022-08-24 13:22:22,337,"Droite réactionnaire",0
"zehammer",2022-08-24 13:24:09,332,"Droite réactionnaire",0
"LyvarF",2022-08-24 13:24:41,330,"Droite réactionnaire",0
"Day5Zero",2022-08-24 13:25:09,328,"Droite réactionnaire",0
"YvesU57",2022-08-24 13:25:35,327,"Alt-right",0
"theforgotten35",2022-08-24 13:26:01,326,"Droite réactionnaire",0
"Snatchering",2022-08-24 13:27:30,323,"Droite réactionnaire",0
"Tempete19604477",2022-08-24 13:27:40,322,"Alt-right",0
"AnthonyBressy",2022-08-24 13:27:45,320,"Néoconservateurs",0
"MLC6942",2022-08-24 13:28:08,319,"Divers gauches",0
"LMrI1374",2022-08-24 13:28:09,318,"Militant·e·s féministes et LGBTQIA+",0
"JeanErnest12",2022-08-24 13:28:24,315,"Militant·e·s féministes et LGBTQIA+",0
"Raghy_lion",2022-08-24 13:28:49,314,"Droite réactionnaire",0
"gaillar41755926",2022-08-24 13:28:50,313,"Droite réactionnaire",0
"pasdebras",2022-08-24 13:29:13,311,"Droite réactionnaire",0
"Anto_SPR",2022-08-24 13:29:44,310,"Militant·e·s féministes et LGBTQIA+",0
"XavierGrolet",2022-08-24 13:29:46,309,"Droite réactionnaire",0
"poulemaccartney",2022-08-24 13:29:51,306,"Droite réactionnaire",0
"PunchyKaiser",2022-08-24 13:30:26,302,"Alt-right",0
"VIGOUROUXCathe1",2022-08-24 13:30:28,301,"Droite réactionnaire",0
"Madyy19",2022-08-24 13:33:07,294,"Militant·e·s féministes et LGBTQIA+",0
"lola_espoir",2022-08-24 13:34:19,291,"Droite réactionnaire",0
"onthegrapevine1",2022-08-24 13:35:05,289,"Droite réactionnaire",0
"JuliaChazottes",2022-08-24 13:35:08,288,"Militant·e·s féministes et LGBTQIA+",0
"BottinThierry",2022-08-24 13:35:13,287,"Droite réactionnaire",0
"blalel2",2022-08-24 13:35:53,282,"Militant·e·s féministes et LGBTQIA+",0
"AireJeux",2022-08-24 13:36:27,281,"Droite réactionnaire",0
"Desertup",2022-08-24 13:36:33,280,"Militant·e·s féministes et LGBTQIA+",0
"AntoineSimonet2",2022-08-24 13:37:10,276,"Conspirationnistes identitaires",0
"Sofiane_Adjissa",2022-08-24 13:37:55,274,"Militant·e·s féministes et LGBTQIA+",0
"beombby_",2022-08-24 13:38:18,271,"Militant·e·s féministes et LGBTQIA+",0
"OssKx",2022-08-24 13:38:40,269,"Militant·e·s féministes et LGBTQIA+",0
"GeozzG",2022-08-24 13:38:57,266,"Militant·e·s féministes et LGBTQIA+",0
"Pari_menagere",2022-08-24 13:40:33,259,"Militant·e·s féministes et LGBTQIA+",0
"girlsbitesback",2022-08-24 13:40:41,258,"Militant·e·s féministes et LGBTQIA+",0
"NGengba",2022-08-24 13:42:01,256,"Droite réactionnaire",0
"Enkiwii",2022-08-24 13:42:07,255,"Militant·e·s féministes et LGBTQIA+",0
"HouseHaddou",2022-08-24 13:42:13,252,"Militant·e·s féministes et LGBTQIA+",0
"CPhudipapa",2022-08-24 13:42:57,249,"Militant·e·s féministes et LGBTQIA+",0
"LilianeBustos",2022-08-24 13:43:16,248,"Droite réactionnaire",0
"blondiewoolfie",2022-08-24 13:43:24,247,"Droite réactionnaire",0
"RegisMamimoue",2022-08-24 13:43:45,246,"Droite réactionnaire",0
"thomyat56",2022-08-24 13:45:03,240,"Droite réactionnaire",0
"luisasiluisano",2022-08-24 13:45:04,239,"Militant·e·s féministes et LGBTQIA+",0
"Ladysand2",2022-08-24 13:46:22,229,"Droite réactionnaire",0
"rumplekitouit",2022-08-24 13:46:27,228,"Militant·e·s féministes et LGBTQIA+",0
"JakmilhDaOne",2022-08-24 13:46:47,227,"Militant·e·s féministes et LGBTQIA+",0
"mamieyannick",2022-08-24 13:46:50,226,"Militant·e·s féministes et LGBTQIA+",0
"ArchiMarie",2022-08-24 13:47:30,225,"Droite réactionnaire",0
"0511ua",2022-08-24 13:48:07,224,"Droite réactionnaire",0
"dimnadz",2022-08-24 13:49:05,220,"Centre",0
